Timestamp,Symbol,Cmp,%ch5,Lc5,Sl,Target,5d_high,R_vol,Forward pe,Pe,Rsi,Sector,Industry,Adx,%ch y_low,Srs,Ars,Srs y,Ars y,Lc,Low,Scan_Date
2026-02-06T01:17:58.124,UJJIVANSFB,63.08,1.42,-12.8,61.23,74.31,66.3,2.01,16.43,24.74,71.04,bank,banks - private sector,31.62,0.819,0.36,0.418,0.308,0.356,5.9,61.73,2026-02-06
2026-02-06T01:17:58.124,INDSWFTLAB,122.14,10.04,-6.33,106.81,135.4,124.8,3.8,26.1,3.35,67.47,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,0.267,-0.005,0.524,-0.067,0.445,5.9,107.09,2026-02-06
2026-02-06T01:17:58.124,JKTYRE,536.05,6.89,-4.18,501.79,558.72,555.5,0.805,16.59,27.45,61.49,auto,tyres,24.09,-0.138,0.429,0.444,0.349,0.403,3.71,501.1,2026-02-06
2026-02-06T01:17:58.124,AJANTPHARM,2817.3,3.85,-1.32,2658.83,3080.05,2889.0,1.49,32.15,34.7,58.19,healthcare,pharmaceuticals - indian - formulations,16.69,0.627,-0.069,0.035,-0.12,0.004,3.98,2675.5,2026-02-06
2026-02-06T01:17:58.124,STYLAMIND,2198.3,3.49,-1.44,2145.79,2363.83,2290.0,0.538,20.23,26.36,54.79,building materials,miscellaneous,13.46,1.43,0.166,0.207,0.132,0.198,1.67,2176.5,2026-02-06
2026-02-05T23:37:31.114,UJJIVANSFB,63.08,1.42,-12.8,61.23,74.31,66.3,2.01,16.43,25.59,71.04,bank,banks - private sector,31.62,0.819,0.36,0.418,0.308,0.356,5.9,61.73,2026-02-05
2026-02-05T23:37:31.114,INDSWFTLAB,122.14,10.04,-6.33,106.81,135.4,124.8,3.8,26.1,3.31,67.47,healthcare,pharmaceuticals - indian - bulk drugs & formln,35.3,0.267,-0.005,0.524,-0.067,0.445,5.9,107.09,2026-02-05
2026-02-05T23:37:31.114,JKTYRE,536.05,6.89,-4.18,501.79,558.72,555.5,0.805,16.59,27.98,61.49,auto,tyres,24.09,-0.138,0.429,0.444,0.349,0.403,3.71,501.1,2026-02-05
2026-02-05T23:37:31.114,AJANTPHARM,2817.3,3.85,-1.32,2658.83,3080.05,2889.0,1.49,32.15,34.75,58.19,healthcare,pharmaceuticals - indian - formulations,16.69,0.627,-0.069,0.035,-0.12,0.004,3.98,2675.5,2026-02-05
2026-02-05T23:37:31.114,STYLAMIND,2198.3,3.49,-1.44,2145.79,2363.83,2290.0,0.538,20.23,26.4,54.79,building materials,miscellaneous,13.46,1.43,0.166,0.207,0.132,0.198,1.67,2176.5,2026-02-05
